,episode,team_points,opponent_points,win,total_wins,win_rate,reward,avg_reward,policy_loss,value_loss,total_loss,rewards
0,1,41.0,116.0,0,0,0.0,,0.0,,,,0.0
1,2,92.0,222.0,0,0,0.0,,0.0,,,,0.0
2,3,148.0,323.0,0,0,0.0,,0.0,,,,0.0
3,4,197.0,431.0,0,0,0.0,,0.0,,,,0.0
4,5,300.0,485.0,0,0,0.0,,0.0,,,,0.0
5,6,364.0,578.0,0,0,0.0,,0.0,,,,0.0
6,7,469.0,630.0,0,0,0.0,,0.0,,,,0.0
7,8,575.0,681.0,0,0,0.0,,0.0,,,,0.0
8,9,707.0,706.0,1,1,11.11111111111111,,0.3075,,,,5.535
9,10,801.0,769.0,1,2,20.0,,0.19436363636363638,-0.09025117754936218,9.748017311096191,9.70289134979248,10.690000000000001
10,11,887.0,840.0,1,3,27.27272727272727,,0.21595890410958904,-0.04665996506810188,8.48640251159668,8.463072776794434,15.765
11,12,962.0,922.0,1,4,33.33333333333333,,0.11791208791208792,-0.07690650224685669,6.092632293701172,6.0541791915893555,10.73
12,13,1036.0,1005.0,1,5,38.46153846153847,,0.05168181818181818,-0.09204413741827011,19.9510498046875,19.905027389526367,5.6850000000000005
13,14,1175.0,1023.0,1,6,42.857142857142854,,0.08820312500000001,-0.168681800365448,2.563915252685547,2.47957444190979,11.290000000000001
14,15,1273.0,1082.0,1,7,46.666666666666664,,0.0999090909090909,-0.07190702110528946,18.23361587524414,18.197662353515625,16.485
15,16,1330.0,1182.0,1,8,50.0,,0.06125,-0.07176502048969269,9.54409408569336,9.508211135864258,11.27
16,17,1439.0,1230.0,1,9,52.94117647058824,,0.08205445544554454,-0.10191215574741364,0.36998307704925537,0.31902700662612915,16.575
17,18,1528.0,1298.0,1,10,55.55555555555556,,0.09809954751131221,-0.12005844712257385,7.5298051834106445,7.469776153564453,21.68
18,19,1627.0,1356.0,1,11,57.89473684210527,,0.11202083333333332,-0.012205846607685089,5.072409629821777,5.0663065910339355,26.884999999999998
19,20,1742.0,1398.0,1,12,60.0,,0.1164259927797834,-0.1001429632306099,2.572972536087036,2.5229010581970215,32.25
20,21,1827.0,1470.0,1,13,61.904761904761905,,0.1264915254237288,-0.06805163621902466,3.206350803375244,3.1723248958587646,37.315
21,22,1914.0,1540.0,1,14,63.63636363636363,,0.13503184713375796,-0.0990142896771431,3.2040603160858154,3.154553174972534,42.4
22,23,2026.0,1585.0,1,15,65.21739130434783,,0.14334834834834834,-0.12505291402339935,1.0365164279937744,0.9739899635314941,47.735
23,24,2119.0,1649.0,1,16,66.66666666666666,,0.1502272727272727,-0.13922345638275146,5.668148517608643,5.598536968231201,52.879999999999995
24,25,2171.0,1754.0,1,17,68.0,,0.12240359897172236,-0.1410965621471405,1.4516814947128296,1.3811331987380981,47.614999999999995
25,26,2293.0,1789.0,1,18,69.23076923076923,,0.13034398034398034,-0.0313936248421669,8.63286018371582,8.61716365814209,53.05
26,27,2293.0,1946.0,1,19,70.37037037037037,,0.11095070422535211,-0.06619447469711304,3.573462963104248,3.540365695953369,47.265
27,28,2376.0,2020.0,1,20,71.42857142857143,,0.11781531531531532,-0.1621200144290924,2.426422595977783,2.345362663269043,52.31
28,29,2427.0,2126.0,1,21,72.41379310344827,,0.10180735930735932,-0.13004030287265778,2.5992889404296875,2.534268856048584,47.035000000000004
29,30,2509.0,2201.0,1,22,73.33333333333333,,0.1043486973947896,-0.055316466838121414,1.721373438835144,1.693715214729309,52.07000000000001
30,31,2635.0,2232.0,1,23,74.19354838709677,,0.11130560928433271,-0.0971899926662445,1.0064587593078613,0.9578637480735779,57.54500000000001
31,32,2679.0,2345.0,1,24,75.0,,0.09757009345794394,-0.05258646234869957,3.7459912300109863,3.719697952270508,52.20000000000001
32,33,2732.0,2449.0,1,25,75.75757575757575,,0.08473826714801445,-0.08514555543661118,1.4941508769989014,1.451578140258789,46.94500000000001
33,34,2783.0,2555.0,1,26,76.47058823529412,,0.07284965034965037,-0.10191791504621506,0.47686272859573364,0.4259037673473358,41.67000000000001
34,35,2812.0,2683.0,1,27,77.14285714285715,,0.059400656814449934,-0.08011002838611603,3.1702277660369873,3.1301727294921875,36.17500000000001
35,36,2957.0,2695.0,1,28,77.77777777777779,,0.06662420382165607,-0.09451141953468323,1.1114169359207153,1.0641611814498901,41.84000000000001
36,37,3020.0,2789.0,1,29,78.37837837837837,,0.056787925696594445,-0.07193826138973236,0.3526315987110138,0.316662460565567,36.68500000000001
37,38,3070.0,2896.0,1,30,78.94736842105263,,0.04728915662650604,-0.17578065395355225,1.6052000522613525,1.5173096656799316,31.40000000000001
38,39,3133.0,2990.0,1,31,79.48717948717949,,0.038482404692082126,-0.13867421448230743,0.4611239433288574,0.3917868435382843,26.245000000000008
39,40,3215.0,3065.0,1,32,80.0,,0.043504867872044516,-0.10127101838588715,2.625932216644287,2.575296640396118,31.28000000000001
40,41,3310.0,3127.0,1,33,80.48780487804879,,0.04938346883468836,-0.1094266027212143,1.6723088026046753,1.6175955533981323,36.44500000000001
41,42,3331.0,3263.0,1,34,80.95238095238095,,0.040833333333333346,-0.06848246604204178,0.6921984553337097,0.6579571962356567,30.870000000000008
42,43,3386.0,3365.0,1,35,81.3953488372093,,0.0331201550387597,-0.053330741822719574,3.9983749389648438,3.9717094898223877,25.63500000000001
43,44,3398.0,3510.0,0,35,79.54545454545455,,0.025214646464646478,-0.11626119911670685,3.6217098236083984,3.5635793209075928,19.97000000000001
